Datetime,H19
2014-10-31T00:00,132.303
2014-10-31T00:15,126.342
2014-10-31T00:30,126.371
2014-10-31T00:45,295.567
2014-10-31T01:00,207.691
2014-10-31T01:15,126.913
2014-10-31T01:30,126.826
2014-10-31T01:45,170.605
2014-10-31T02:00,338.944
2014-10-31T02:15,127.567
2014-10-31T02:30,127.522
2014-10-31T02:45,127.559
2014-10-31T03:00,358.549
2014-10-31T03:15,155.077
2014-10-31T03:30,127.797
2014-10-31T03:45,127.851
2014-10-31T04:00,314.585
2014-10-31T04:15,193.685
2014-10-31T04:30,127.944
2014-10-31T04:45,153.694
2014-10-31T05:00,276.773
2014-10-31T05:15,194.072
2014-10-31T05:30,127.564
2014-10-31T05:45,127.562
2014-10-31T06:00,265.871
2014-10-31T06:15,241.622
2014-10-31T06:30,127.256
2014-10-31T06:45,127.216
2014-10-31T07:00,215.076
2014-10-31T07:15,297.97
2014-10-31T07:30,127.902
2014-10-31T07:45,127.705
2014-10-31T08:00,279.511
2014-10-31T08:15,183.985
2014-10-31T08:30,172.573
2014-10-31T08:45,247.549
2014-10-31T09:00,147.182
2014-10-31T09:15,200.774
2014-10-31T09:30,477.539
2014-10-31T09:45,491.691
2014-10-31T10:00,374.079
2014-10-31T10:15,342.935
2014-10-31T10:30,617.732
2014-10-31T10:45,1104.898
2014-10-31T11:00,1529.474
2014-10-31T11:15,1853.301
2014-10-31T11:30,1061.165
2014-10-31T11:45,757.927
2014-10-31T12:00,439.037
2014-10-31T12:15,340.724
2014-10-31T12:30,332.993
2014-10-31T12:45,251.591
2014-10-31T13:00,279.275
2014-10-31T13:15,122.426
2014-10-31T13:30,122.296
2014-10-31T13:45,181.963
2014-10-31T14:00,239.472
2014-10-31T14:15,194.212
2014-10-31T14:30,198.31
2014-10-31T14:45,293.002
2014-10-31T15:00,338.116
2014-10-31T15:15,563.986
2014-10-31T15:30,576.579
2014-10-31T15:45,562.657
2014-10-31T16:00,484.264
2014-10-31T16:15,525.298
2014-10-31T16:30,370.629
2014-10-31T16:45,316.026
2014-10-31T17:00,264.276
2014-10-31T17:15,422.819
2014-10-31T17:30,757.489
2014-10-31T17:45,492.309
2014-10-31T18:00,461.421
2014-10-31T18:15,466.785
2014-10-31T18:30,638.064
2014-10-31T18:45,1520.331
2014-10-31T19:00,922.009
2014-10-31T19:15,613.635
2014-10-31T19:30,701.421
2014-10-31T19:45,640.44
2014-10-31T20:00,615.755
2014-10-31T20:15,713.422
2014-10-31T20:30,812.922
2014-10-31T20:45,748.906
2014-10-31T21:00,758.013
2014-10-31T21:15,604.836
2014-10-31T21:30,626.624
2014-10-31T21:45,614.088
2014-10-31T22:00,487.923
2014-10-31T22:15,357.365
2014-10-31T22:30,243.021
2014-10-31T22:45,223.258
2014-10-31T23:00,204.579
2014-10-31T23:15,211.529
2014-10-31T23:30,128.935
2014-10-31T23:45,184.082
2014-11-01T00:00,167.273
2014-11-01T00:15,286.133
2014-11-01T00:30,130.539
2014-11-01T00:45,129.179
2014-11-01T01:00,224.651
2014-11-01T01:15,257.078
2014-11-01T01:30,157.778
2014-11-01T01:45,128.922
2014-11-01T02:00,202.155
2014-11-01T02:15,267.335
2014-11-01T02:30,173.352
2014-11-01T02:45,129.514
2014-11-01T03:00,180.622
2014-11-01T03:15,318.957
2014-11-01T03:30,129.514
2014-11-01T03:45,129.556
2014-11-01T04:00,129.6
2014-11-01T04:15,366.622
2014-11-01T04:30,145.69
2014-11-01T04:45,129.623
