Datetime,H13
2014-10-31T00:00,578.407
2014-10-31T00:15,694.19
2014-10-31T00:30,390.932
2014-10-31T00:45,258.674
2014-10-31T01:00,260.139
2014-10-31T01:15,370.722
2014-10-31T01:30,419.42
2014-10-31T01:45,260.139
2014-10-31T02:00,262.035
2014-10-31T02:15,488.197
2014-10-31T02:30,283.955
2014-10-31T02:45,261.693
2014-10-31T03:00,262.355
2014-10-31T03:15,421.754
2014-10-31T03:30,371.954
2014-10-31T03:45,262.355
2014-10-31T04:00,262.68
2014-10-31T04:15,328.024
2014-10-31T04:30,469.032
2014-10-31T04:45,262.68
2014-10-31T05:00,261.525
2014-10-31T05:15,446.9
2014-10-31T05:30,351.798
2014-10-31T05:45,261.525
2014-10-31T06:00,389.49
2014-10-31T06:15,381.463
2014-10-31T06:30,260.667
2014-10-31T06:45,260.667
2014-10-31T07:00,418.605
2014-10-31T07:15,373.601
2014-10-31T07:30,260.316
2014-10-31T07:45,260.316
2014-10-31T08:00,370.567
2014-10-31T08:15,426.621
2014-10-31T08:30,259.599
2014-10-31T08:45,259.599
2014-10-31T09:00,267.254
2014-10-31T09:15,579.612
2014-10-31T09:30,473.112
2014-10-31T09:45,282.956
2014-10-31T10:00,251.013
2014-10-31T10:15,450.332
2014-10-31T10:30,334.465
2014-10-31T10:45,494.064
2014-10-31T11:00,606.013
2014-10-31T11:15,777.221
2014-10-31T11:30,1020.261
2014-10-31T11:45,774.792
2014-10-31T12:00,767.356
2014-10-31T12:15,570.851
2014-10-31T12:30,742.95
2014-10-31T12:45,690.758
2014-10-31T13:00,570.402
2014-10-31T13:15,561.539
2014-10-31T13:30,687.982
2014-10-31T13:45,742.133
2014-10-31T14:00,558.785
2014-10-31T14:15,578.378
2014-10-31T14:30,371.366
2014-10-31T14:45,471.128
2014-10-31T15:00,311.637
2014-10-31T15:15,246.939
2014-10-31T15:30,263.089
2014-10-31T15:45,296.466
2014-10-31T16:00,1773.349
2014-10-31T16:15,1032.103
2014-10-31T16:30,291.047
