Datetime,H23
2014-10-31T00:00,26795.644
2014-10-31T00:15,30323.013
2014-10-31T00:30,21671.378
2014-10-31T00:45,20573.04
2014-10-31T01:00,26450.444
2014-10-31T01:15,29948.173
2014-10-31T01:30,29187.722
2014-10-31T01:45,25307.226
2014-10-31T02:00,21898.0
2014-10-31T02:15,33793.727
2014-10-31T02:30,33150.961
2014-10-31T02:45,24527.522
2014-10-31T03:00,23538.719
2014-10-31T03:15,28365.912
2014-10-31T03:30,25942.003
2014-10-31T03:45,26704.276
2014-10-31T04:00,27790.051
2014-10-31T04:15,36383.478
2014-10-31T04:30,31448.694
2014-10-31T04:45,27427.739
2014-10-31T05:00,27447.024
2014-10-31T05:15,25898.289
2014-10-31T05:30,31215.434
2014-10-31T05:45,43878.867
2014-10-31T06:00,31746.628
2014-10-31T06:15,28156.247
2014-10-31T06:30,26349.841
2014-10-31T06:45,30818.864
2014-10-31T07:00,69147.735
2014-10-31T07:15,93802.887
2014-10-31T07:30,78487.56
2014-10-31T07:45,64708.536
2014-10-31T08:00,77415.545
2014-10-31T08:15,61811.677
2014-10-31T08:30,63001.797
2014-10-31T08:45,68079.001
2014-10-31T09:00,61169.72
2014-10-31T09:15,53104.611
2014-10-31T09:30,32852.825
2014-10-31T09:45,13868.334
2014-10-31T10:00,9076.701
2014-10-31T10:15,6613.384
2014-10-31T10:30,1195.682
2014-10-31T10:45,303.719
2014-10-31T11:00,402.189
2014-10-31T11:15,437.041
2014-10-31T11:30,2970.317
2014-10-31T11:45,994.273
2014-10-31T12:00,550.209
2014-10-31T12:15,442.441
2014-10-31T12:30,365.017
2014-10-31T12:45,370.737
2014-10-31T13:00,1579.26
2014-10-31T13:15,1026.293
2014-10-31T13:30,1167.292
2014-10-31T13:45,784.387
2014-10-31T14:00,574.6
2014-10-31T14:15,540.3
2014-10-31T14:30,487.844
2014-10-31T14:45,603.588
2014-10-31T15:00,657.533
2014-10-31T15:15,693.089
2014-10-31T15:30,939.49
2014-10-31T15:45,1128.017
2014-10-31T16:00,980.614
2014-10-31T16:15,1689.503
2014-10-31T16:30,17506.424
2014-10-31T16:45,29502.176
2014-10-31T17:00,4396.869
2014-10-31T17:15,1340.491
2014-10-31T17:30,16222.644
2014-10-31T17:45,25547.849
2014-10-31T18:00,32399.229
2014-10-31T18:15,47638.853
2014-10-31T18:30,38594.606
2014-10-31T18:45,32974.073
2014-10-31T19:00,40317.363
2014-10-31T19:15,45564.817
2014-10-31T19:30,41145.661
2014-10-31T19:45,49119.479
2014-10-31T20:00,41220.954
2014-10-31T20:15,31444.329
2014-10-31T20:30,35269.198
2014-10-31T20:45,32632.403
2014-10-31T21:00,33286.826
2014-10-31T21:15,42463.469
2014-10-31T21:30,32622.318
2014-10-31T21:45,31225.335
2014-10-31T22:00,27612.932
2014-10-31T22:15,32310.354
2014-10-31T22:30,27548.58
2014-10-31T22:45,39872.672
2014-10-31T23:00,27348.582
2014-10-31T23:15,25268.506
2014-10-31T23:30,26117.991
2014-10-31T23:45,23417.86
2014-11-01T00:00,25355.12
2014-11-01T00:15,31769.079
2014-11-01T00:30,21024.855
2014-11-01T00:45,21594.977
2014-11-01T01:00,24747.773
2014-11-01T01:15,33688.535
2014-11-01T01:30,27208.542
2014-11-01T01:45,24212.662
2014-11-01T02:00,24427.142
2014-11-01T02:15,26545.29
2014-11-01T02:30,37819.534
2014-11-01T02:45,27009.88
2014-11-01T03:00,25434.81
2014-11-01T03:15,33287.774
2014-11-01T03:30,25579.288
2014-11-01T03:45,24669.261
2014-11-01T04:00,26861.206
2014-11-01T04:15,28308.157
2014-11-01T04:30,30379.659
2014-11-01T04:45,40849.583
2014-11-01T05:00,28801.355
2014-11-01T05:15,28519.403
2014-11-01T05:30,28386.398
2014-11-01T05:45,25679.537
