Datetime,H21
2014-10-31T00:00,324.562
2014-10-31T00:15,398.045
2014-10-31T00:30,218.869
2014-10-31T00:45,235.712
2014-10-31T01:00,535.289
2014-10-31T01:15,367.618
2014-10-31T01:30,283.689
2014-10-31T01:45,218.416
2014-10-31T02:00,422.098
2014-10-31T02:15,440.388
2014-10-31T02:30,354.306
2014-10-31T02:45,219.421
2014-10-31T03:00,319.69
2014-10-31T03:15,615.555
2014-10-31T03:30,271.355
2014-10-31T03:45,219.96
2014-10-31T04:00,335.934
2014-10-31T04:15,562.813
2014-10-31T04:30,292.102
2014-10-31T04:45,220.097
2014-10-31T05:00,350.352
2014-10-31T05:15,473.935
2014-10-31T05:30,382.528
2014-10-31T05:45,219.413
2014-10-31T06:00,315.55
2014-10-31T06:15,438.999
2014-10-31T06:30,455.126
2014-10-31T06:45,222.685
2014-10-31T07:00,244.621
2014-10-31T07:15,432.841
2014-10-31T07:30,497.299
2014-10-31T07:45,241.369
2014-10-31T08:00,217.958
2014-10-31T08:15,563.05
2014-10-31T08:30,642.7
2014-10-31T08:45,322.299
2014-10-31T09:00,639.406
2014-10-31T09:15,306.727
2014-10-31T09:30,1049.671
2014-10-31T09:45,270.735
2014-10-31T10:00,211.377
2014-10-31T10:15,211.32
2014-10-31T10:30,514.465
2014-10-31T10:45,461.763
2014-10-31T11:00,211.047
2014-10-31T11:15,243.83
2014-10-31T11:30,474.298
2014-10-31T11:45,652.297
2014-10-31T12:00,2586.561
2014-10-31T12:15,1479.191
2014-10-31T12:30,1257.874
2014-10-31T12:45,503.296
2014-10-31T13:00,486.238
2014-10-31T13:15,552.878
2014-10-31T13:30,369.29
2014-10-31T13:45,427.558
2014-10-31T14:00,695.739
2014-10-31T14:15,553.187
2014-10-31T14:30,2246.673
2014-10-31T14:45,1059.735
2014-10-31T15:00,324.503
2014-10-31T15:15,576.293
2014-10-31T15:30,492.115
2014-10-31T15:45,407.816
2014-10-31T16:00,212.115
2014-10-31T16:15,437.334
2014-10-31T16:30,807.594
2014-10-31T16:45,670.564
2014-10-31T17:00,820.081
2014-10-31T17:15,784.886
2014-10-31T17:30,995.519
2014-10-31T17:45,851.845
2014-10-31T18:00,1075.027
2014-10-31T18:15,1867.372
2014-10-31T18:30,1448.316
2014-10-31T18:45,1045.479
2014-10-31T19:00,837.6
2014-10-31T19:15,2024.853
2014-10-31T19:30,640.767
2014-10-31T19:45,745.092
2014-10-31T20:00,478.237
2014-10-31T20:15,568.985
2014-10-31T20:30,772.822
2014-10-31T20:45,966.541
2014-10-31T21:00,607.49
2014-10-31T21:15,458.234
2014-10-31T21:30,619.353
2014-10-31T21:45,908.685
2014-10-31T22:00,815.669
2014-10-31T22:15,685.219
2014-10-31T22:30,545.429
2014-10-31T22:45,411.202
2014-10-31T23:00,451.289
2014-10-31T23:15,550.638
2014-10-31T23:30,388.142
2014-10-31T23:45,290.476
2014-11-01T00:00,360.809
2014-11-01T00:15,288.852
2014-11-01T00:30,434.324
2014-11-01T00:45,360.59
