Datetime,H14
2014-10-31T00:00,495.644
2014-10-31T00:15,513.013
2014-10-31T00:30,451.378
2014-10-31T00:45,513.04
2014-10-31T01:00,340.444
2014-10-31T01:15,428.173
2014-10-31T01:30,247.721
2014-10-31T01:45,247.226
2014-10-31T02:00,248.0
2014-10-31T02:15,193.727
2014-10-31T02:30,370.961
2014-10-31T02:45,187.522
2014-10-31T03:00,308.719
2014-10-31T03:15,185.912
2014-10-31T03:30,262.003
2014-10-31T03:45,304.276
2014-10-31T04:00,290.051
2014-10-31T04:15,283.478
2014-10-31T04:30,348.694
2014-10-31T04:45,447.739
2014-10-31T05:00,327.024
2014-10-31T05:15,408.289
2014-10-31T05:30,305.434
2014-10-31T05:45,438.867
2014-10-31T06:00,356.628
2014-10-31T06:15,366.247
2014-10-31T06:30,189.841
2014-10-31T06:45,238.864
2014-10-31T07:00,317.735
2014-10-31T07:15,252.887
2014-10-31T07:30,247.56
2014-10-31T07:45,198.536
2014-10-31T08:00,475.545
2014-10-31T08:15,321.677
2014-10-31T08:30,411.797
2014-10-31T08:45,259.001
2014-10-31T09:00,399.72
2014-10-31T09:15,204.611
2014-10-31T09:30,312.825
2014-10-31T09:45,618.334
2014-10-31T10:00,296.701
2014-10-31T10:15,2103.384
2014-10-31T10:30,1195.682
2014-10-31T10:45,303.719
2014-10-31T11:00,402.189
2014-10-31T11:15,437.041
2014-10-31T11:30,2970.317
2014-10-31T11:45,994.273
2014-10-31T12:00,550.209
2014-10-31T12:15,442.441
2014-10-31T12:30,365.017
2014-10-31T12:45,370.737
2014-10-31T13:00,1579.26
2014-10-31T13:15,1026.293
2014-10-31T13:30,1167.292
2014-10-31T13:45,784.387
2014-10-31T14:00,574.6
2014-10-31T14:15,540.3
2014-10-31T14:30,487.844
2014-10-31T14:45,603.588
2014-10-31T15:00,657.533
2014-10-31T15:15,693.089
2014-10-31T15:30,939.49
2014-10-31T15:45,1128.017
2014-10-31T16:00,980.614
2014-10-31T16:15,1689.503
2014-10-31T16:30,1766.424
2014-10-31T16:45,702.176
2014-10-31T17:00,746.869
2014-10-31T17:15,670.491
2014-10-31T17:30,522.644
2014-10-31T17:45,587.849
2014-10-31T18:00,669.229
2014-10-31T18:15,648.853
2014-10-31T18:30,534.606
2014-10-31T18:45,624.073
2014-10-31T19:00,767.363
2014-10-31T19:15,584.817
2014-10-31T19:30,1495.661
2014-10-31T19:45,2179.479
2014-10-31T20:00,850.954
2014-10-31T20:15,864.329
2014-10-31T20:30,709.198
2014-10-31T20:45,812.403
2014-10-31T21:00,696.826
2014-10-31T21:15,563.469
2014-10-31T21:30,512.318
2014-10-31T21:45,605.335
2014-10-31T22:00,492.932
2014-10-31T22:15,530.354
2014-10-31T22:30,428.58
2014-10-31T22:45,412.672
2014-10-31T23:00,328.582
2014-10-31T23:15,308.506
2014-10-31T23:30,437.991
2014-10-31T23:45,327.86
2014-11-01T00:00,255.12
2014-11-01T00:15,189.079
2014-11-01T00:30,194.855
2014-11-01T00:45,374.977
2014-11-01T01:00,317.773
2014-11-01T01:15,188.535
2014-11-01T01:30,188.542
2014-11-01T01:45,262.662
2014-11-01T02:00,427.142
2014-11-01T02:15,195.29
2014-11-01T02:30,189.534
2014-11-01T02:45,229.88
