Datetime,H4
2014-10-31T00:00,0.0
2014-10-31T00:15,0.0
2014-10-31T00:30,0.0
2014-10-31T00:45,0.0
2014-10-31T01:00,0.0
2014-10-31T01:15,0.0
2014-10-31T01:30,0.0
2014-10-31T01:45,0.0
2014-10-31T02:00,0.0
2014-10-31T02:15,0.0
2014-10-31T02:30,0.0
2014-10-31T02:45,0.0
2014-10-31T03:00,0.0
2014-10-31T03:15,0.0
2014-10-31T03:30,0.0
2014-10-31T03:45,0.0
2014-10-31T04:00,0.0
2014-10-31T04:15,0.0
2014-10-31T04:30,0.0
2014-10-31T04:45,0.0
2014-10-31T05:00,0.0
2014-10-31T05:15,0.0
2014-10-31T05:30,0.0
2014-10-31T05:45,0.0
2014-10-31T06:00,0.0
2014-10-31T06:15,1.095
2014-10-31T06:30,2.19
2014-10-31T06:45,3.286
2014-10-31T07:00,4.381
2014-10-31T07:15,198.179
2014-10-31T07:30,391.978
2014-10-31T07:45,585.776
2014-10-31T08:00,779.575
2014-10-31T08:15,1121.327
2014-10-31T08:30,1463.08
2014-10-31T08:45,1804.832
2014-10-31T09:00,2146.584
2014-10-31T09:15,2236.257
2014-10-31T09:30,2325.93
2014-10-31T09:45,2415.603
2014-10-31T10:00,2505.276
2014-10-31T10:15,2572.886
2014-10-31T10:30,2640.497
2014-10-31T10:45,2708.108
2014-10-31T11:00,2775.719
2014-10-31T11:15,2950.773
2014-10-31T11:30,3125.826
2014-10-31T11:45,3300.879
2014-10-31T12:00,3475.932
2014-10-31T12:15,3403.326
2014-10-31T12:30,3330.719
2014-10-31T12:45,3258.112
2014-10-31T13:00,3185.505
2014-10-31T13:15,2904.997
2014-10-31T13:30,2624.49
2014-10-31T13:45,2343.982
2014-10-31T14:00,2063.475
2014-10-31T14:15,1723.504
2014-10-31T14:30,1383.533
2014-10-31T14:45,1043.563
2014-10-31T15:00,703.592
2014-10-31T15:15,528.285
2014-10-31T15:30,352.977
2014-10-31T15:45,177.67
2014-10-31T16:00,2.363
2014-10-31T16:15,1.772
2014-10-31T16:30,1.181
2014-10-31T16:45,0.591
2014-10-31T17:00,0.0
2014-10-31T17:15,0.0
2014-10-31T17:30,0.0
2014-10-31T17:45,0.0
2014-10-31T18:00,0.0
2014-10-31T18:15,0.0
2014-10-31T18:30,0.0
2014-10-31T18:45,0.0
2014-10-31T19:00,0.0
2014-10-31T19:15,0.0
2014-10-31T19:30,0.0
2014-10-31T19:45,0.0
2014-10-31T20:00,0.0
2014-10-31T20:15,0.0
2014-10-31T20:30,0.0
2014-10-31T20:45,0.0
2014-10-31T21:00,0.0
2014-10-31T21:15,0.0
2014-10-31T21:30,0.0
2014-10-31T21:45,0.0
2014-10-31T22:00,0.0
2014-10-31T22:15,0.0
2014-10-31T22:30,0.0
2014-10-31T22:45,0.0
2014-10-31T23:00,0.0
2014-10-31T23:15,0.0
2014-10-31T23:30,0.0
2014-10-31T23:45,0.0
2014-11-01T00:00,0.0
2014-11-01T00:15,0.0
2014-11-01T00:30,0.0
2014-11-01T00:45,0.0
2014-11-01T01:00,0.0
2014-11-01T01:15,0.0
2014-11-01T01:30,0.0
2014-11-01T01:45,0.0
2014-11-01T02:00,0.0
2014-11-01T02:15,0.0
2014-11-01T02:30,0.0
2014-11-01T02:45,0.0
2014-11-01T03:00,0.0
2014-11-01T03:15,0.0
2014-11-01T03:30,0.0
2014-11-01T03:45,0.0
2014-11-01T04:00,0.0
2014-11-01T04:15,0.0
2014-11-01T04:30,0.0
2014-11-01T04:45,0.0
2014-11-01T05:00,0.0
2014-11-01T05:15,0.0
2014-11-01T05:30,0.0
