Datetime,H19
2014-10-31T00:00,0.0
2014-10-31T00:15,0.0
2014-10-31T00:30,0.0
2014-10-31T00:45,0.0
2014-10-31T01:00,0.0
2014-10-31T01:15,0.0
2014-10-31T01:30,0.0
2014-10-31T01:45,0.0
2014-10-31T02:00,0.0
2014-10-31T02:15,0.0
2014-10-31T02:30,0.0
2014-10-31T02:45,0.0
2014-10-31T03:00,0.0
2014-10-31T03:15,0.0
2014-10-31T03:30,0.0
2014-10-31T03:45,0.0
2014-10-31T04:00,0.0
2014-10-31T04:15,0.0
2014-10-31T04:30,0.0
2014-10-31T04:45,0.0
2014-10-31T05:00,0.0
2014-10-31T05:15,0.0
2014-10-31T05:30,0.0
2014-10-31T05:45,0.0
2014-10-31T06:00,0.0
2014-10-31T06:15,2.235
2014-10-31T06:30,4.47
2014-10-31T06:45,6.705
2014-10-31T07:00,8.94
2014-10-31T07:15,404.448
2014-10-31T07:30,799.955
2014-10-31T07:45,1195.462
2014-10-31T08:00,1590.969
2014-10-31T08:15,2288.423
2014-10-31T08:30,2985.877
2014-10-31T08:45,3683.33
2014-10-31T09:00,4380.784
2014-10-31T09:15,4563.79
2014-10-31T09:30,4746.796
2014-10-31T09:45,4929.801
2014-10-31T10:00,5112.807
2014-10-31T10:15,5250.789
2014-10-31T10:30,5388.77
2014-10-31T10:45,5526.752
2014-10-31T11:00,5664.733
2014-10-31T11:15,6021.985
2014-10-31T11:30,6379.236
2014-10-31T11:45,6736.488
2014-10-31T12:00,7093.739
2014-10-31T12:15,6945.562
2014-10-31T12:30,6797.385
2014-10-31T12:45,6649.208
2014-10-31T13:00,6501.031
2014-10-31T13:15,5928.566
2014-10-31T13:30,5356.102
2014-10-31T13:45,4783.637
2014-10-31T14:00,4211.173
2014-10-31T14:15,3517.355
2014-10-31T14:30,2823.537
2014-10-31T14:45,2129.72
2014-10-31T15:00,1435.902
2014-10-31T15:15,1078.132
2014-10-31T15:30,720.362
2014-10-31T15:45,362.592
2014-10-31T16:00,4.822
2014-10-31T16:15,3.616
2014-10-31T16:30,2.411
2014-10-31T16:45,1.205
2014-10-31T17:00,0.0
2014-10-31T17:15,0.0
2014-10-31T17:30,0.0
2014-10-31T17:45,0.0
2014-10-31T18:00,0.0
2014-10-31T18:15,0.0
2014-10-31T18:30,0.0
2014-10-31T18:45,0.0
2014-10-31T19:00,0.0
2014-10-31T19:15,0.0
2014-10-31T19:30,0.0
2014-10-31T19:45,0.0
2014-10-31T20:00,0.0
2014-10-31T20:15,0.0
2014-10-31T20:30,0.0
2014-10-31T20:45,0.0
2014-10-31T21:00,0.0
2014-10-31T21:15,0.0
2014-10-31T21:30,0.0
2014-10-31T21:45,0.0
2014-10-31T22:00,0.0
2014-10-31T22:15,0.0
2014-10-31T22:30,0.0
2014-10-31T22:45,0.0
2014-10-31T23:00,0.0
2014-10-31T23:15,0.0
2014-10-31T23:30,0.0
2014-10-31T23:45,0.0
2014-11-01T00:00,0.0
2014-11-01T00:15,0.0
2014-11-01T00:30,0.0
2014-11-01T00:45,0.0
2014-11-01T01:00,0.0
2014-11-01T01:15,0.0
2014-11-01T01:30,0.0
2014-11-01T01:45,0.0
2014-11-01T02:00,0.0
2014-11-01T02:15,0.0
2014-11-01T02:30,0.0
2014-11-01T02:45,0.0
2014-11-01T03:00,0.0
2014-11-01T03:15,0.0
2014-11-01T03:30,0.0
2014-11-01T03:45,0.0
2014-11-01T04:00,0.0
2014-11-01T04:15,0.0
2014-11-01T04:30,0.0
2014-11-01T04:45,0.0
2014-11-01T05:00,0.0
2014-11-01T05:15,0.0
2014-11-01T05:30,0.0
